City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
445,Tabou,CI,79.03,overcast clouds,4.423,-7.3528,hotêl doufoulougou
447,Matara,LK,79.38,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
448,Sulya,IN,79.05,overcast clouds,12.5667,75.3833,RIVER ISLAND LODGING
450,Broken Hill,AU,71.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
451,Bandarbeyla,SO,75.69,clear sky,9.4942,50.8122,JABIR HOTEL
452,Deogarh,IN,77.27,overcast clouds,21.5333,84.7333,Amit Henej House
453,Tuscaloosa,US,64.18,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
455,Mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
457,Marsh Harbour,BS,74.86,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
459,Puerto Narino,CO,72.16,clear sky,-3.7703,-70.3831,Eware Refugio Amazonico
460,Bouna,CI,79.07,broken clouds,9.2667,-3.0,Hôtel lababa
463,Kamaishi,JP,48.47,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
464,Viransehir,TR,54.0,overcast clouds,37.2353,39.7631,Viranşehir Öğretmenevi
465,Te Anau,NZ,70.05,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
468,Santa Maria,BR,63.7,moderate rain,-29.6842,-53.8069,Hotel Morotin
469,Katsuura,JP,50.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
470,Sao Jose Da Coroa Grande,BR,78.28,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
471,Nanlong,CN,58.59,overcast clouds,31.3533,106.0631,Demei Hotel
472,Ngunguru,NZ,69.6,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
473,Shiyan,CN,64.6,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
474,Boras,SE,40.82,light rain,57.721,12.9401,Scandic Plaza Borås
475,Westport,US,43.75,overcast clouds,41.1415,-73.3579,The Inn at Longshore
477,Ermoupolis,GR,56.1,overcast clouds,37.4423,24.9425,Ploes
479,Hamilton,US,49.21,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
483,Rincon,US,65.86,clear sky,32.296,-81.2354,Days Inn Rincon
484,Virginia Beach,US,57.25,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
489,Ngaoundere,CM,70.14,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
495,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
496,Takab,IR,49.84,overcast clouds,36.4009,47.1133,نانوایی جواد
497,Mersing,MY,75.11,few clouds,2.4312,103.8405,Timotel Hotel
498,Najran,SA,61.45,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
500,Hanna,CA,46.85,scattered clouds,51.6334,-111.9018,West View Motel
504,Skibbereen,IE,51.12,overcast clouds,51.55,-9.2667,The West Cork Hotel
505,Altagracia De Orituco,VE,74.79,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
507,Camopi,GF,72.34,overcast clouds,3.1655,-52.3158,La pousada
510,Ambanja,MG,72.05,scattered clouds,-13.6833,48.45,Hotel Salama and Fast Food
512,Port Hardy,CA,44.78,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
514,Puquio,PE,50.36,broken clouds,-14.7,-74.1333,Hostal Jousef
517,Seoul,KR,56.59,haze,37.5683,126.9778,롯데호텔 서울
524,San Luis,AR,51.13,clear sky,-33.295,-66.3356,Huarpes Hotel
525,Kirksville,US,53.56,overcast clouds,40.1948,-92.5833,Budget Host-Village Inn
526,Port Hueneme,US,62.87,broken clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
528,Chimoio,MZ,71.46,broken clouds,-19.1164,33.4833,Predio Livraria Ahmed
529,Rapid Valley,US,47.32,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
532,Tuy Hoa,VN,72.86,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
533,Hirara,JP,73.26,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
534,Tamandare,BR,77.95,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
535,Mercedes,AR,57.78,clear sky,-34.6515,-59.4307,Posada del Inti Centro
537,Gazanjyk,TM,73.06,clear sky,39.2446,55.5154,Railway motel
539,Nago,JP,70.65,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
541,Rawson,AR,57.92,clear sky,-43.3002,-65.1023,Hosteria Sampedro
543,Ishigaki,JP,71.73,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
547,Shu,KZ,54.86,overcast clouds,43.5983,73.7614,Shyngyzkhan
549,Dubrovnik,HR,44.24,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
550,Touros,BR,76.84,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
553,Flinders,AU,79.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
554,Waipawa,NZ,65.62,clear sky,-41.4122,175.5153,Tora Coastal Walk
555,Bichena,ET,57.79,overcast clouds,10.45,38.2,Dagm Tesfa Hotel ዳግም ተስፋ ሆቴል
558,Victor Harbor,AU,67.62,clear sky,-35.5667,138.6167,McCracken Country Club
561,Ketchikan,US,41.47,light rain,55.3422,-131.6461,Snow's Cove Lodge
562,Canyon,US,63.45,overcast clouds,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
567,Rocha,UY,62.38,clear sky,-34.4833,-54.3333,Hotel Arrarte
568,Pingliang,CN,57.69,overcast clouds,35.5392,106.6861,North Gate Hostel
571,Nehe,CN,50.09,overcast clouds,48.4833,124.8333,Vladimir Homestay
572,Porto Franco,BR,74.07,overcast clouds,-6.3383,-47.3992,Saint Louis Hotel
575,Arica,CL,64.63,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
577,Sarkand,KZ,55.35,broken clouds,45.41,79.9186,Гостиница Сарканд
